,hashtag,hashtag_class,true_segmentation
173,воспитанию,5,0000000001
174,свободысроклет,7,00000010001001
175,завершена,5,000000001
176,мероприятийпосвященных,6,0000000000100000000001
177,оформитьможете245подписку,7,0000000100000100100000001
178,русско,5,000001
179,имиоказалисьранее,7,00100000000100001
180,размеретысячрублей,7,000000100001000001
181,столицы2464госавтоинспекцияобращается,7,0000001000100000000000000010000000001
182,сообщениепоступило224полицию,7,0000000010000000010010000001
183,службыбезопасностипочты,7,00000100000000000100001
184,уб,5,01
185,гражданскойзащиты1454,6,000000000010000010001
186,обращаетсямосквыдвижения36,7,00000000010000010000000101
187,сотрудникаоргановвнутренних,7,000000000100000010000000001
188,условийизбегатьбеспорядочного,7,00000010000000100000000000001
189,6столицыгосавтоинспекция,6,100000010000000000000001
190,письмо,5,000001
191,российскойфедерациисилами1,7,00000000010000000010000011
192,интернет0магазинов,6,000000011000000001
193,университетмвд,6,00000000001001
194,индии2россии,6,000011000001
195,покушениенезаконныепроизводство,7,0000000010000000001000000000001
196,смогутбесплатноотправить,7,000001000000001000000001
197,службедоблесть40,6,0000010000000101
198,14информациюнеобходимую,6,01000000000100000000001
199,зимнихолимпийскихигр,7,00000100000000001001
200,защищенности278,5,000000000001001
201,жителямосковскойобласти,7,00000100000000010000001
202,пожилаяженщина,6,00000010000001
203,входить,5,0000001
204,конкурсов,5,000000001
205,наркотикидоброеутро,7,0000000010000010001
206,дополнительныеуслуги62,6,0000000000000100000101
207,увдзаогенерал,7,0010010000001
208,38сколково,5,0100000001
209,международномучастия560,6,00000000000010000001001
210,сообщениепоступило331краже,7,00000000100000000100100001
211,алкогольнойпродукции,6,00000000001000000001
212,указанномуадресу,6,0000000001000001
213,актуальнымвопросам,6,000000000100000001
214,ледоколильямуромец,7,000000100010000001
215,лучшей,5,000001
216,суток7,5,000011
217,словампотерпевшей,6,00000100000000001
218,службы87сотрудники,6,000001010000000001
219,техники1445свышеединиц,7,0000001000100001000001
220,территориигородамосквы,7,0000000001000001000001
221,административномуокругу,6,00000000000000001000001
222,пучков42владимирпотребовал,7,00000101000000010000000001
223,федерациигенералармии,7,000000001000000100001
224,оборону2811,5,00000010001
225,ротыпатрульнопостовой,7,000100000000100000001
226,территорий,5,0000000001
227,статической,5,00000000001
228,училище8884,5,00000010001
229,празднования4955днярамках,7,0000000000010001001000001
230,301первоймировойвойны,7,001000001000000100001
231,патриот,5,0000001
232,почтароссииновости8198,6,0000000000100000010001
233,75продаже,5,010000001
234,организациях82,5,00000000000101
235,петровкановостикража,7,00000001000000100001
236,отмечается1116,5,00000000010001
237,юзаозадержалиподозреваемого,7,000100000000100000000000001
238,24многим,5,01000001
239,незамедлительно79,5,00000000000000101
240,выявилимиграционногонарушения9,7,000000100000000000010000000011
241,собрфедеральнойслужбы,7,000100000000001000001
242,сирийскойармии,6,00000000100001
243,запрещенных91,5,0000000000101
244,советскихвойск,6,00000000100001
245,юга033столицызадержали,7,0010010000001000000001
246,морозснегурочка,6,000010000000001
247,авторские,5,000000001
248,разыскиваемойсообщитьтелефонам,7,000000000000100000001000000001
249,выходныхмвдпетровка,7,0000000100100000001
250,сердца,5,000001
251,частныхохранных345,6,000000100000001001
252,либоизвестноместонахождении,7,000100000001000000000000001
253,новейшиеобразцы,6,000000010000001
254,российской4числефедерации,7,0000000001100001000000001
255,территорииобслуживания,6,0000000001000000000001
256,приметучастие,6,0000010000001
257,одинокихпожилыхлюдей,7,00000001000000100001
258,распространении,5,000000000000001
259,принялучастие,6,0000010000001
260,северноготихоокеанского903,6,00000000100000000000001001
261,югозападногополицейские5895,7,001000000001000000000010001
262,96заявкам,5,010000001
263,80художественнаяобложкаизготовлены,7,0100000000000001000000100000000001
264,хорошихзаконопослушных,6,0000001000000000000001
265,центраслужебногособаководства,7,00000100000000010000000000001
266,округамосквы,6,000001000001
267,молодыхлюдейдвоих1108,7,000000100001000010001
268,выходныхкругухороших96,7,0000000100001000000101
269,будутработать,6,0000100000001
270,охрануобщественного,6,0000010000000000001
271,москвегенералмайор,7,000001000000100001
272,направленныеустановление,6,000000000001000000000001
273,изображенамарке08почтовой,7,0000000001000010100000001
274,казани4,5,0000011
275,россиирайонухамовники,7,000001000001000000001
276,2республикиглава,6,1000000000100001
277,героинасотрудники,6,00000010000000001
278,полицияновостиобщество,7,0000001000000100000001
279,дмитровскомрайонемосковской,7,000000000010000010000000001
280,8879сухопутныевойска,5,00010000000000000001
281,россииармия6917,6,000001000010001
282,службыотставке,6,00000100000001
283,ночной,5,000001
284,главного8заместительначальника,7,000000011000000000010000000001
285,позвонила,5,000000001
286,жуковском,5,000000001
287,почтовыхмарках,6,00000001000001
288,представляетсобой,6,00000000000100001
289,союзногобезопасности056,6,00000001000000000001001
290,помощьюкоторого562,6,000000100000001001
291,петровка8новостимвд,7,0000000110000001001
292,мчсмчсроссииавиация,7,0010000000010000001
293,московскиеконцерт6981,6,000000000100000010001
294,мвд9404проституциейзанятия,7,00100010000000000010000001
295,противоправные9,5,000000000000011
296,почтароссииуслугипочтыдрузья,7,0000000000100000000001000001
297,693начальникаотделения,6,0010000000001000000001
298,задержалиподозреваемыхчетверых8,7,0000000010000000000001000000011
299,внутрь,5,000001
300,уроженецближнегозарубежья,7,0000000100000001000000001
301,заместителягенеральногодиректора3,7,000000000010000000000010000000011
302,либорежима,6,0001000001
303,следитенашиминовостями,7,0000001000001000000001
304,самыедорогиемарки,7,00001000000100001
305,данномуфактуследственным,7,000000100001000000000001
306,отборочныйэтап,6,00000000010001
307,российскоговоенного,6,0000000000100000001
308,мвд7058петровкавыходных,7,00100010000000100000001
309,печатникироссиирайону083,7,000000001000001000001001
310,наталья,5,0000001
311,сервисы,5,0000001
312,начальникауправленияохраны,7,00000000010000000001000001
313,студенческийдесант07,5,00000000000000000101
314,уроженецближнего,6,0000000100000001
315,достигнутыеуспехиработе,7,00000000001000001000001
316,поход2,5,000011
317,186тиражомвыпущена,6,001000000100000001
318,фили328россиирайону,7,0001001000001000001
319,территория,5,0000000001
320,отделениипочты,6,00000000100001
321,5540радиотехнические,5,00010000000000000001
322,работайтебратьяработаембрат,6,000000000000001000000000001
323,ведомствароссии,6,000000001000001
324,номиналмаркисоставляет,7,0000001000010000000001
325,приоритетныенаправления,6,00000000000100000000001
326,участвуйте,5,0000000001
327,всеармейскийэтапконкурса,7,000000000001000100000001
328,безопасностьполицияосень,7,000000000001000000100001
329,пиротехникицентра1911,6,000000000010000010001
330,саперы,5,000001
331,12полицияроссиимвдполиция,7,0100000000000010010000001
332,получателей1,5,000000000011
333,1поделились,5,10000000001
334,9охотный,5,10000001
335,бойкий6,5,0000011
336,цксувд,6,001001
337,детскихдомовдомов,7,00000010000100001
338,приятные,5,00000001
339,департаментом,5,0000000000001
340,передача,5,00000001
341,приемавыдачи9083центров,7,00000100000100010000001
342,шамиль2373,5,0000010001
343,помощьмедицинская68,6,0000010000000000101
344,узнаете,5,0000001
345,львовского,5,0000000001
346,роман,5,00001
347,почтароссии55открытки,6,000000000010100000001
348,побывал,5,0000001
349,оперативнотактической,6,000000000100000000001
350,военная,5,0000001
351,обогрева,5,00000001
352,домашних9,5,000000011
353,столичный,5,000000001
354,почтароссиизапускает,7,00001000001000000001
355,тысячи7человек,6,00000110000001
356,новостирозыск,6,0000001000001
357,охрануобщественногопорядка,7,00000100000000000010000001
358,2ноября,5,1000001
359,2почтароссиимаркифилателия,7,10000000000100001000000001
360,отношенииграбежподозреваемого705,7,00000000100000100000000000001001
361,динамическогопоказавозможностей,7,0000000000001000001000000000001
362,балтийскогофлотовкаспийской,7,000000000010000010000000001
363,9615разместить,5,00010000000001
364,открыть,5,0000001
365,бланка,5,000001
366,криминалистический5,5,0000000000000000011
367,противоправноминкриминируемомобвинение86,7,0000000000000100000000000000100000000101
368,колесныхтранспортныхсредств,7,000000010000000000010000001
369,полиции94столичнойпресекли,7,00000010100000000100000001
370,боевые0653корабли,6,00000100010000001
371,зная,5,0001
372,управлениевнутреннихдел,7,00000000010000000001001
373,четыре,5,000001
374,заместителяначальникаглавного,7,00000000001000000000100000001
375,установилиместонахождение149,6,0000000001000000000000001001
376,место,5,00001
377,7гибддуправление,6,1000010000000001
378,частипроезжей9переходе,7,0000100000001100000001
379,вручную6,5,00000011
380,видеэлектронном8,6,0001000000000011
381,798ответы,5,001000001
382,5армияфорума,6,100001000001
383,россиимчспродолжают4614,7,00000100100000000010001
384,138мощностью,5,001000000001
385,тактическиеучения,6,00000000001000001
386,официальномсайте,6,0000000000100001
387,военнойобразцов7вооружения,7,00000010000000110000000001
388,маркиизображением7169,6,000010000000000010001
389,624вернулисьроссийскиесамолеты,7,001000000001000000000100000001
390,совершал3883,5,000000010001
391,транспорта0общественного,6,000000000110000000000001
392,органов45мвд,6,000000101001
393,компании,5,00000001
394,861особыеприметыцвета,7,001000001000000100001
395,следственногоуправленияглавного5,7,00000000000010000000001000000011
396,омвддежурную9370часть,7,000100000001000100001
397,обеспечениибезопасности,6,00000000001000000000001
398,неожиданно3,5,00000000011
399,1262югоокругавосточного,7,00010010000010000000001
400,будь2,5,00011
401,мамафотоинспектор,7,00010001000000001
402,недельдвух8течение,7,000001000110000001
403,0510юаомайоргенерал,7,0001001000010000001
404,тысячсотни040,6,0000100001001
405,тактическогодесанта,6,0000000000010000001
406,58полициивручилимосковской,7,01000000100000010000000001
407,вслед,5,00001
408,щит944россии,6,001001000001
409,сирияминобороны,6,000010000000001
410,органоввласти8государственной,7,00000010000011000000000000001
411,проверки397документов,6,000000010010000000001
412,официального3525,5,0000000000010001
413,рабочийдень,6,00000010001
414,труд,5,0001
415,анна3,5,00011
416,районутеплыйстан,7,0000010000010001
417,оченьрад72,6,0000100101
418,подробнеепетровка,6,00000000100000001
419,нашем7367ознакомитьсясайте,7,00001000100000000000100001
420,республикиглава33,6,00000000010000101
421,принятопроцессуальноекоторой632,7,0000001000000000000010000001001
422,гордятся,5,00000001
423,92знания,5,01000001
424,прием9,5,000011
425,подписчики2496уважаемые,6,00000000010001000000001
426,5812успела,5,0001000001
427,задержалиуголовного04розыска,7,0000000010000000001010000001
428,новгород,5,00000001
429,можетеознакомитьсянашем,7,00000100000000000100001
430,9местонахождениекоторойрождения,7,1000000000000001000000100000001
431,расследованияустановленоходе0434,7,00000000000010000000000100010001
432,5390михайловича,5,000100000000001
433,полныйтекстприсоединяйтесь8,7,000001000010000000000000011
434,55массойграммовсвыше,7,01000001000000100001
435,народный94участковый,6,00000001010000000001
436,почтовыеинтересно013,6,00000001000000001001
437,св,5,01
438,попавшим7336,5,000000010001
439,интернатовдомовпрестарелых,7,00000000010000100000000001
440,корабль38противолодочный,6,000000101000000000000001
441,мвд4россиикикотя,7,0011000001000001
442,войск528фашистских,6,000010010000000001
443,годамоскве,6,0001000001
444,помощниканачальника,6,0000000010000000001
445,руководителиструктурныхподразделений,7,000000000001000000000010000000000001
446,подготовилофотопроектпосвященный,7,00000000001000000000100000000001
447,заключение,5,0000000001
448,высшегообщевойскового82,6,00000010000000000000101
449,москвеполковниквнутренней,7,0000010000000010000000001
450,примирению4883,5,00000000010001
451,4начальникаобязанности,6,1000000000100000000001
452,9041стороныодной,6,0001000000100001
453,столицы1задержан,6,0000001100000001
454,пройти,5,000001
455,системемвд,6,0000001001
456,тренировочнымиучениямисвязанными,7,00000000000001000000010000000001
457,официальнымвизитом,6,000000000010000001
458,руководству,5,00000000001
459,розыскаувдвао,7,0000001001001
460,963практики,5,00100000001
461,морскихвоенно461учебных,7,00000010000010010000001
462,260управляя,5,00100000001
463,летомгода,6,000010001
464,дмитровскому93районуроссии,7,00000000000101000001000001
465,сортировочных,5,0000000000001
466,любимуюпрессу,6,0000001000001
467,столичномотделении,6,000000001000000001
468,4254мерам,5,000100001
469,420здоровью,5,00100000001
470,системы2161управления,6,000000100010000000001
471,традиция,5,00000001
472,соединениявдв1985,6,00000000010010001
473,динамическогопоказа,6,0000000000001000001
474,боеваяподготовка,5,0000000000000001
475,россиидоставилмчс68,7,0000010000000100101
476,82торговликомпанийинтернет,7,01000000010000000100000001
477,малыйпротиволодочныйкорабль,7,000010000000000000010000001
478,своейпрофессии,6,00001000000001
479,начальника,5,0000000001
480,антинаркотической,5,00000000000000001
481,направленныеповышение,6,000000000001000000001
482,2дорожнопроисшествийтранспортных,7,10000001000000000001000000000001
483,тысячоткрыток,6,0000100000001
484,42пресекли,5,0100000001
485,такуюоткрытку,6,0000100000001
486,примерно,5,00000001
487,войскподдержкевкс,7,00001000000001001
488,причиной,5,00000001
489,880конференция,5,00100000000001
490,пётр4523великий,6,000100010000001
491,премьерминистром,6,0000001000000001
492,5124праздничного,5,0001000000000001
493,худощавоготелосложениялицо,7,00000000010000000000010001
494,медицинскоеучреждение,6,000000000010000000001
495,конкурсадесантныйвзвод,7,0000000100000000100001
496,новомуучебномугоду54,7,00000100000001000101
497,руководствастоличнойполиции,7,000000000010000000010000001
498,61подразделенийконтролюоборотом,7,0100000000000010000000100000001
499,обменпочтовый64,6,000010000000101
500,подразделений292мчс,6,0000000000001001001
501,экспертизу,5,0000000001
502,войскстратегическогоназначения,7,000010000000000000010000000001
503,ротыпатрульноотдельной31,7,000100000000100000000101
504,поставил9466задачу,6,000000010001000001
505,могло,5,00001
506,средствах,5,000000001
507,ознакомитьсянашем,6,00000000000100001
508,4хамовники,5,1000000001
509,находящийся28,5,0000000000101
510,935мчсроссиипожарныемчс,7,00100000000100000001001
511,советов6общественных,6,00000011000000000001
512,013учиться,5,0010000001
513,9полициямосковская,6,100000010000000001
514,0145полициеймосковской,6,0001000000010000000001
515,филиалафгуп,6,00000010001
516,заданныйрайон,6,0000000100001
517,мужчиннеизвестных2,6,000001000000000011
518,московскаяполицияобращается,7,000000000100000010000000001
519,местонахождениенеизвестноприметы,7,00000000000000100000000010000001
520,провелитренировку3497,6,000000100000000010001
521,вечному5огню,6,000000110001
522,полицияветеран36юбилей,7,0000001000000101000001
523,участиеначальник,6,0000001000000001
524,нашимклиентам,6,0000100000001
525,1835развернуты,5,00010000000001
526,5длилась,5,10000001
527,графику,5,0000001
528,звездасайтеминобороны,7,000001000010000000001
529,петровкаполковникмилиции,7,000000010000000010000001
530,выразилблагодарность,6,00000010000000000001
531,сотрудникицентра,6,0000000001000001
532,сотрудников402тысячполиции,7,00000000001001000010000001
533,4626будьтевнимательны,6,000100000100000000001
534,проведены,5,000000001
535,слава,5,00001
536,нашему,5,000001
537,шойгу704сергейприбыл,7,00001001000001000001
538,пожарной,5,00000001
539,скоро79,5,0000101
540,министробороныроссии,7,00000010000001000001
541,россиирайонутеплый,7,000001000001000001
542,преступленийпредусмотренных,6,000000000001000000000000001
543,крупных3городов,6,000000110000001
544,новостимошенничество,6,00000010000000000001
545,открытого,5,000000001
546,подводимитоги,6,0000000100001
547,символом,5,00000001
548,удар0объектам,6,0001100000001
549,приносит,5,00000001
550,подвестиитоги,6,0000000100001
551,студии9,5,0000011
552,летиядня,6,00001001
553,тактическойавиации,6,000000000010000001
554,257императора,5,0010000000001
555,инструкторовподготовки2741,6,00000000000100000000010001
556,темноевремясуток,7,0000010000100001
557,конкурсасоревнованиярасчетов,7,0000000100000000000100000001
558,третьего,5,00000001
559,можетеоформитьподписку,7,0000010000000100000001
560,детейподростков6,6,0000100000000011
561,информациюрежимеработы,7,0000000001000001000001
562,гостям16столицыжителям,7,0000010100000010000001
563,89движениямаршрутыстрого,7,010000000100000001000001
564,минобороныавиациязво,7,00000000010000001001
565,08правонарушения,5,0100000000000001
566,экземпляроввышла,6,0000000000100001
567,0346победили,5,000100000001
568,70увдоперативники,6,01001000000000001
569,защитынаселения528,6,000001000000001001
570,атомногоракетногокрейсера,7,0000000100000000100000001
571,обнаружили94полиции,6,0000000001010000001
572,конкретные,5,0000000001
573,адмиралвладимирский,6,0000001000000000001
574,здоровогообразажизни,7,00000000100000100001
575,водой,5,00001
576,летнесколько8,6,0010000000011
577,300патриот,5,0010000001
578,москвемосковскойобласти,7,00000100000000010000001
579,4729фгуппочта,6,0001000100001
580,всейдуши24поздравляем,7,000100010100000000001
581,городароссии,6,000001000001
582,безопасный,5,0000000001
583,наркопритон8471,5,000000000010001
584,лицамчс,5,0000001
585,службывоенной223,6,0000010000001001
586,случая8,5,0000011
587,25дорожнотранспортное,6,010000001000000000001
588,взлетев,5,0000001
589,системыпредупрежденияликвидации,7,0000001000000000000010000000001
590,коллеги39дорогиеуважаемые,7,0000001010000001000000001
591,5672ммпопочтовогообмена,7,00010001000000001000001
592,деэскалациизоны8233,6,0000000000100010001
593,аэромобильной,5,0000000000001
594,мотострелковойотдельной7,6,000000000000010000000011
595,мчс493владимирмчсроссии,7,00100100000001000000001
596,героимчсмчсмчсроссии,7,00000001001000000001
597,726управлениястоличного,6,00100000000010000000001
598,установленный,5,0000000000001
599,верности10,5,0000000101
600,занимаетместо578,6,0000000100001001
601,поповаввмурэ,6,000001000001
602,материаловуголовногодела,7,000000000100000000010001
603,общейплощадью,6,0000100000001
604,98июль,5,010001
605,россиипочтыавтопарке1,7,000001000010000000011
606,москвесотрудникиполиции,7,00000100000000010000001
607,этапеконкурсаверный,7,0000100000001000001
608,первую7603,5,0000010001
609,новостичитайтенашем,7,0000001000000100001
610,используют,5,0000000001
611,рубль,5,00001
612,перерывом27часовчасов,7,000000001010000100001
613,6980авиациивкстранспортной,7,00010000001001000000000001
614,обороной,5,00000001
615,интернет91посылки,6,00000001010000001
616,коллегами,5,000000001
617,россиитекст2полный,7,000001000011000001
618,21воронежскойобласти,6,01000000000010000001
619,средством2целихищения,7,000000001100010000001
620,неделифотоувд,7,0000010001001
621,мчс17мчсроссиичрезвычайныйблогер,7,00101000000001000000000000000001
622,добросовестноевыполнение,6,000000000000010000000001
623,видеподписки,6,000100000001
624,сражении,5,00000001
625,международнойкоалиции,6,000000000000100000001
626,помогают,5,00000001
627,российскойфедерациигороду,7,0000000001000000001000001
628,отечественнойвойне,6,000000000000100001
629,некоторым,5,000000001
630,северозападногоокруга,7,000001000000001000001
631,десантныхвойск,6,00000000100001
632,выросло0,5,00000011
633,касающиеся,5,0000000001
634,месяца867,5,000001001
635,поделитесь,5,0000000001
636,полигонеашулук,6,00000001000001
637,председательженскогосовета,7,00000000000100000001000001
638,отметки,5,0000001
639,задержалиподозреваемыхграбеже,7,00000000100000000000010000001
640,участие381нашемконкурсе,7,00000010010000100000001
641,49пожеланий,5,01000000001
642,принялорешение,6,00000010000001
643,переулкомгосавтоинспекциястолицы,7,00000000100000000000000010000001
644,мостам,5,000001
645,1763поздравлениям,5,00010000000000001
646,генералмайор,6,000000100001
647,выявлено,5,00000001
648,привели0,5,00000011
649,время,5,00001
650,подозреваемыхсерииквартирных,7,0000000000001000010000000001
651,полиции586евгений,6,00000010010000001
652,060въездароссийскую,6,0010000010000000001
653,округуюжномуадминистративному9,7,000001000001000000000000000011
654,тихоокеанскогофлотасоставе,7,00000000000001000010000001
655,3894любимого,5,000100000001
656,территориальныйотделполиции,7,000000000000001000010000001
657,99стрелков,5,0100000001
658,ныне0686,5,00010001
659,эксклюзивные,5,000000000001
660,383округеюжном,6,00100000100001
661,проведенияаварийно,6,000000000100000001
662,6682летмедальпобеды,7,0001001000001000001
663,0освидетельствованиямедицинского,6,10000000000000000001000000000001
664,административныхправонарушениях,6,0000000000000001000000000000001
665,942повышенной,5,0010000000001
666,елкаполицейскийдедморозсотрудники,7,000100000000000000000010000000001
667,хмеймимотдал,6,000000100001
668,отдалприказ,6,00001000001
669,воздушном,5,000000001
670,нейтральными,5,000000000001
671,углу57,5,000101
672,нападенияусловногопротивника,7,0000000010000000010000000001
673,42просит,5,01000001
674,ветеранов73домапрестарелых,7,00000000101000100000000001
675,ветерановорганов,6,0000000010000001
676,1820отправил,5,000100000001
677,принятьучастиеакции,7,0000001000000100001
678,активные,5,00000001
679,сказалглававоенного,7,0000010000100000001
680,спасениюлюдей,6,0000000100001
681,столицымвдроссиипетровка,7,000000100000000100000001
682,стоитотметить,6,0000100000001
683,заявил,5,000001
684,сумкукоторойнаходились,7,0000100000010000000001
685,школинтернатов,6,00010000000001
686,данныймомент,6,000001000001
687,живетемосквеподмосковье,7,00000100000100000000001
688,живучесть,5,000000001
689,россиирайонупреображенское,7,00000100000100000000000001
690,туристической0007,5,00000000000010001
691,официальныйпредставительмвд,7,000000000010000000000001001
692,напишиписьмо,6,000001000001
693,160зеленоградновостиполиция,7,001000000000100000010000001
694,спусков,5,0000001
695,апреля5,5,0000011
696,приобретение,5,000000000001
697,мчсмчсроссиибуднимчс,7,00100000000100000001
698,оперативноесовещание,6,00000000001000000001
699,сеть,5,0001
700,выпускникальвовскоговысшего,7,000000000100000000010000001
701,задержанлетний,6,00000001000001
702,пресечена55,5,00000000101
703,мирачемпионатапрактической366,7,00010000000001000000000001001
704,учебныйгод70,6,000000100101
705,визита,5,000001
706,почтыперевозки9,6,000010000000011
707,частныхохранных,6,000000100000001
708,антонов,5,0000001
709,5129индивидуальной,5,000100000000000001
710,4семеноваольга,6,10000000100001
711,полковникпетровка36милиции,7,00000000100000001010000001
712,рлс0,5,0011
713,пушкина,5,0000001
714,омвдсотрудники7001россии,7,000100000000010001000001
715,россииниколайподгузов,7,000001000000100000001
716,годовщине,5,000000001
717,лицевой716,5,0000001001
718,односамых,6,000100001
719,следственногоувдуправления496,7,00000000000010010000000001001
720,разбой,5,000001
